domain,prompt,n_rows,layer,accuracy,auc,separability_auc
element_symbol,answer,80,2,0.2916666666666667,0.2638888888888889,0.7361111111111112
element_symbol,answer,80,3,0.20833333333333334,0.18055555555555555,0.8194444444444444
element_symbol,answer,80,4,0.5,0.4305555555555556,0.5694444444444444
element_symbol,answer,80,5,0.4166666666666667,0.4027777777777778,0.5972222222222222
element_symbol,answer,80,6,0.4583333333333333,0.5347222222222222,0.5347222222222222
element_symbol,answer,80,7,0.4583333333333333,0.47916666666666663,0.5208333333333334
element_symbol,answer,80,8,0.5,0.4513888888888889,0.5486111111111112
element_symbol,answer,80,9,0.5,0.47916666666666663,0.5208333333333334
element_symbol,answer,80,10,0.4166666666666667,0.39583333333333337,0.6041666666666666
element_symbol,answer,80,11,0.4583333333333333,0.3680555555555556,0.6319444444444444
element_symbol,question,80,0,0.20833333333333334,0.2569444444444444,0.7430555555555556
element_symbol,question,80,1,0.2916666666666667,0.24305555555555555,0.7569444444444444
element_symbol,question,80,2,0.4166666666666667,0.2777777777777778,0.7222222222222222
element_symbol,question,80,3,0.2916666666666667,0.24305555555555555,0.7569444444444444
element_symbol,question,80,4,0.4583333333333333,0.44444444444444453,0.5555555555555555
element_symbol,question,80,5,0.4583333333333333,0.4027777777777778,0.5972222222222222
element_symbol,question,80,6,0.4583333333333333,0.5416666666666666,0.5416666666666666
element_symbol,question,80,7,0.5416666666666666,0.5416666666666667,0.5416666666666667
element_symbol,question,80,8,0.5416666666666666,0.48611111111111116,0.5138888888888888
element_symbol,question,80,9,0.5,0.4444444444444445,0.5555555555555556
element_symbol,question,80,10,0.4166666666666667,0.38888888888888895,0.611111111111111
element_symbol,question,80,11,0.4583333333333333,0.3472222222222222,0.6527777777777778
book_author,statement_is,60,0,0.3888888888888889,0.40740740740740744,0.5925925925925926
book_author,statement_is,60,1,0.4444444444444444,0.32098765432098764,0.6790123456790124
book_author,statement_is,60,2,0.3888888888888889,0.2962962962962963,0.7037037037037037
book_author,statement_is,60,3,0.3333333333333333,0.32098765432098764,0.6790123456790124
book_author,statement_is,60,4,0.5,0.2962962962962963,0.7037037037037037
book_author,statement_is,60,5,0.3333333333333333,0.23456790123456792,0.7654320987654321
book_author,statement_is,60,6,0.3888888888888889,0.2716049382716049,0.7283950617283951
book_author,statement_is,60,7,0.3888888888888889,0.271604938271605,0.728395061728395
book_author,statement_is,60,8,0.3333333333333333,0.25925925925925924,0.7407407407407407
book_author,statement_is,60,9,0.3888888888888889,0.2839506172839506,0.7160493827160495
book_author,statement_is,60,10,0.2777777777777778,0.2592592592592593,0.7407407407407407
book_author,statement_is,60,11,0.3333333333333333,0.2962962962962963,0.7037037037037037
book_author,answer,60,0,0.3888888888888889,0.43209876543209874,0.5679012345679013
book_author,answer,60,1,0.3888888888888889,0.3209876543209877,0.6790123456790123
book_author,answer,60,2,0.3888888888888889,0.2962962962962963,0.7037037037037037
book_author,answer,60,3,0.4444444444444444,0.37037037037037035,0.6296296296296297
book_author,answer,60,4,0.5,0.38271604938271603,0.617283950617284
book_author,answer,60,5,0.3888888888888889,0.33333333333333337,0.6666666666666666
book_author,answer,60,6,0.4444444444444444,0.30864197530864196,0.691358024691358
book_author,answer,60,7,0.4444444444444444,0.33333333333333337,0.6666666666666666
book_author,answer,60,8,0.3333333333333333,0.29629629629629634,0.7037037037037037
book_author,answer,60,9,0.3888888888888889,0.2716049382716049,0.7283950617283951
book_author,answer,60,10,0.3888888888888889,0.2962962962962963,0.7037037037037037
book_author,answer,60,11,0.2777777777777778,0.20987654320987653,0.7901234567901234
book_author,question,60,0,0.3888888888888889,0.3950617283950617,0.6049382716049383
book_author,question,60,1,0.3888888888888889,0.4074074074074074,0.5925925925925926
book_author,question,60,2,0.3333333333333333,0.4074074074074074,0.5925925925925926
book_author,question,60,3,0.3333333333333333,0.3209876543209877,0.6790123456790123
book_author,question,60,4,0.3333333333333333,0.39506172839506176,0.6049382716049383
book_author,question,60,5,0.3888888888888889,0.33333333333333337,0.6666666666666666
book_author,question,60,6,0.2777777777777778,0.25925925925925924,0.7407407407407407
book_author,question,60,7,0.4444444444444444,0.2962962962962963,0.7037037037037037
book_author,question,60,8,0.3888888888888889,0.345679012345679,0.654320987654321
book_author,question,60,9,0.3888888888888889,0.28395061728395066,0.7160493827160493
book_author,question,60,10,0.3888888888888889,0.2962962962962963,0.7037037037037037
book_author,question,60,11,0.2777777777777778,0.2345679012345679,0.7654320987654322
landmark_country,statement_is,60,0,0.5,0.4938271604938272,0.5061728395061729
landmark_country,statement_is,60,1,0.4444444444444444,0.4444444444444445,0.5555555555555556
landmark_country,statement_is,60,2,0.4444444444444444,0.4691358024691358,0.5308641975308642
landmark_country,statement_is,60,3,0.6666666666666666,0.5679012345679013,0.5679012345679013
landmark_country,statement_is,60,4,0.6111111111111112,0.6790123456790124,0.6790123456790124
landmark_country,statement_is,60,5,0.6111111111111112,0.7407407407407407,0.7407407407407407
landmark_country,statement_is,60,6,0.6111111111111112,0.7160493827160495,0.7160493827160495
landmark_country,statement_is,60,7,0.6666666666666666,0.7901234567901234,0.7901234567901234
landmark_country,statement_is,60,8,0.7222222222222222,0.7901234567901235,0.7901234567901235
landmark_country,statement_is,60,9,0.7777777777777778,0.8148148148148148,0.8148148148148148
landmark_country,statement_is,60,10,0.6666666666666666,0.7407407407407409,0.7407407407407409
